,index,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka
291,292,"3,295,000 ₪",הרב יוסף שלמה כהנמן מפה,"דירה, רמת שלמה, ירושלים",3,80,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,1,1,1,0,1,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
292,293,"4,500,000 ₪",קטמון הישנה מפה,"דירה, קטמון הישנה, ירושלים",2,118,"מרפסות
1","קומות בבנין
4","חניות
1",0,0,1,1,1,1,1,0,1,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",0,1
293,294,"1,875,000 ₪",אליעזר קשאני מפה,"דירה, ארמון הנציב, תלפיות מזרח, ירושלים",1,68,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
294,295,"2,050,000 ₪",כמון מפה,"דירה, גילה, ירושלים",1,74,none,"קומות בבנין
3","חניות
1",0,1,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
295,296,"3,480,000 ₪","ארמון הנציב, תלפיות מזרח מפה","דירה, ארמון הנציב, תלפיות מזרח, ירושלים",1,76,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",1,0
296,297,"3,300,000 ₪",רחביה מפה,"דירה, רחביה, ירושלים",1,63,"מרפסות
3","קומות בבנין
3","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה גמישה",0,0
297,298,"2,100,000 ₪",מבוא הלוט מפה,"דירה, גילה, ירושלים",1,72,none,"קומות בבנין
4","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
298,299,"3,590,000 ₪","ביל""ו מפה","דירה, קטמון הישנה, ירושלים",קרקע,65,none,"קומות בבנין
3","חניות
1",1,0,0,1,0,0,0,1,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
31/08/2023",0,0
299,300,"2,099,000 ₪",קטמונים מפה,"דירה, קטמונים, ירושלים",קרקע,60,none,"קומות בבנין
4","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
300,301,"1,880,000 ₪",ירושלים מפה,"דירה, ירושלים",2,63,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,0,1,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
301,302,"2,880,000 ₪",גבעת שאול מפה,"דירה, גבעת שאול, ירושלים",8,85,"מרפסות
2","קומות בבנין
9","חניות
1",1,1,1,1,1,1,1,1,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה מיידית",1,0
302,303,"4,300,000 ₪","טלביה, קוממיות מפה","דירה, טלביה, קוממיות, ירושלים",1,84,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,0,1,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,1
303,304,"1,550,000 ₪","תל ארזה, עזרת תורה מפה","דירה, תל ארזה, עזרת תורה, ירושלים",1,60,none,"קומות בבנין
3","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
304,305,"2,280,000 ₪",עמנואל זיסמן מפה,"דירה, חומת שמואל, הר חומה, ירושלים",2,87,"מרפסות
1","קומות בבנין
6","חניות
1",0,0,0,0,1,0,0,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0
305,306,"3,000,000 ₪",המלך ג'ורג' מפה,"דירה, מרכז העיר, ירושלים",2,86,none,"קומות בבנין
6","חניות
ללא",0,0,1,0,1,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0
306,307,"2,700,000 ₪",חולדה הנביאה 10 מפה,"דירה, מוסררה, מורשה, ירושלים",1,101,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,1,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
307,308,לא צוין מחיר,הציונות מפה,"דירה, ירושלים",3,100,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
308,309,"2,100,000 ₪",הרשל גרינשפן מפה,"דירה, ארמון הנציב, תלפיות מזרח, ירושלים",2,70,"מרפסות
1","קומות בבנין
2","חניות
ללא",0,1,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,1
309,310,"2,280,000 ₪","חומת שמואל, הר חומה מפה","דירה, חומת שמואל, הר חומה, ירושלים",4,85,"מרפסות
1","קומות בבנין
7","חניות
1",1,1,1,1,1,1,1,1,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
310,311,"1,000,000 ₪",מרכז העיר מפה,"דירה, מרכז העיר, ירושלים",7,90,none,"קומות בבנין
7","חניות
ללא",1,1,1,0,1,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",1,0
311,312,"2,100,000 ₪",קרית היובל מפה,"דירה, קרית היובל, ירושלים",3,60,none,"קומות בבנין
9","חניות
ללא",1,0,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",1,0
312,313,לא צוין מחיר,בר כוכבא מפה,"דירה, הגבעה הצרפתית, גבעת שפירא, ירושלים",1,62,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
313,314,"1,830,000 ₪",המרגלית מפה,"דירה, גילה, ירושלים",1,60,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,0,0,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,1
314,315,"3,700,000 ₪",הרב חיים ברלין מפה,"דירה, קרית שמואל, ירושלים",3,78,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,1,0,1,1,0,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",0,1
315,316,"2,890,000 ₪","בית הכרם, רמת בית הכרם מפה",nan,1,70,"מרפסות
1","קומות בבנין
4","חניות
1",1,1,1,1,1,1,1,1,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
316,317,"1,779,000 ₪",המרגלית מפה,"דירה, גילה, ירושלים",3,65,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
317,318,"2,550,000 ₪",ירושלים מפה,"דירה, ירושלים",3,65,none,"קומות בבנין
4","חניות
ללא",0,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0
318,319,"2,200,000 ₪",תירוש מפה,"דירה, גילה, ירושלים",1,74,"מרפסות
2","קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
319,320,"2,890,000 ₪","בית הכרם, רמת בית הכרם מפה","דירה, בית הכרם, רמת בית הכרם, ירושלים",1,70,"מרפסות
1","קומות בבנין
4","חניות
1",1,0,1,0,1,0,0,1,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
320,321,"2,045,000 ₪",אברהם שטרן 10 מפה,"דירה, קרית היובל, ירושלים",2,70,"מרפסות
1","קומות בבנין
6","חניות
ללא",1,0,0,1,0,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
01/08/2023",0,0
321,322,"2,100,000 ₪",קרית היובל מפה,"דירה, קרית היובל, ירושלים",4,52,none,"קומות בבנין
4","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
322,323,"2,450,000 ₪",עמנואל זיסמן 20 מפה,"דירה, חומת שמואל, הר חומה, ירושלים",4,94,"מרפסות
2","קומות בבנין
7","חניות
1",1,0,1,0,1,1,0,1,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
323,324,"4,100,000 ₪",רחביה מפה,"דירה, רחביה, ירושלים",3,70,"מרפסות
2","קומות בבנין
4","חניות
ללא",0,0,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",1,0
324,325,"3,590,000 ₪",בנימין מטודלה מפה,"דירה, רחביה, ירושלים",2,75,"מרפסות
2","קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,0,1,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",1,0
325,326,"2,240,000 ₪",הרב יצחק נסים מפה,"דירה, חומת שמואל, הר חומה, ירושלים",3,70,"מרפסות
1","קומות בבנין
3","חניות
1",1,0,1,1,1,1,0,1,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",1,1
326,327,"3,950,000 ₪",הקרן הקיימת לישראל מפה,"דירה, רחביה, ירושלים",5,85,none,"קומות בבנין
8","חניות
1",1,0,1,0,1,0,0,1,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
327,328,"2,700,000 ₪",תלפיות מפה,"דירה, תלפיות, ירושלים",1,92,"מרפסות
1","קומות בבנין
3","חניות
1",1,0,0,1,0,0,0,1,1,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0
328,329,לא צוין מחיר,דב הוז 5 מפה,"דירה, קטמונים, ירושלים",1,60,none,"קומות בבנין
1","חניות
ללא",1,1,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
329,330,"2,050,000 ₪",הגומא מפה,"דירה, גילה, ירושלים",1,70,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,0,0,0,0,0,1,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
330,331,"1,700,000 ₪",הנורית מפה,"דירה, עיר גנים, ירושלים",3,45,none,"קומות בבנין
4","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0
331,332,"2,400,000 ₪",קורות העיתים מפה,"דירה, קרית משה, ירושלים",2,60,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
332,333,"2,100,000 ₪",בר כוכבא מפה,"דירה, ירושלים",3,63,none,"קומות בבנין
6","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
333,334,"1,890,000 ₪",דוד ניב מפה,"דירה, פסגת זאב, ירושלים",2,70,"מרפסות
1","קומות בבנין
2","חניות
ללא",1,1,0,1,0,0,1,1,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,1
334,335,"2,150,000 ₪",בית ישראל מפה,"דירה, בית ישראל, ירושלים",קרקע,85,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה גמישה",0,0
335,336,"2,050,000 ₪",פסגת זאב מפה,"דירה, פסגת זאב, ירושלים",3,85,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,1
336,337,"1,750,000 ₪",ירושלים מפה,"דירה, ירושלים",2,70,"מרפסות
1","קומות בבנין
3","חניות
ללא",0,0,0,1,0,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,1
337,338,"1,989,996 ₪",הגננת מפה,"דירה, גילה, ירושלים",1,67,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,1,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
338,339,"4,990,000 ₪",מרכז העיר מפה,"דירה, מרכז העיר, ירושלים",3,90,none,"קומות בבנין
7","חניות
ללא",1,0,1,0,0,0,0,0,0,0,"מצב הנכס
חדש","תאריך כניסה
לא צוין תאריך כניסה",0,0
339,340,לא צוין מחיר,חוזה סן מרטין מפה,"דירה, קטמונים, ירושלים",3,60,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0
340,341,"2,580,000 ₪",הרב ריינס מפה,"דירה, קרית משה, ירושלים",7,81,none,"קומות בבנין
7","חניות
ללא",1,0,1,1,0,1,1,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",1,0
341,342,"4,500,000 ₪",קרית הלאום מפה,"דירה, קרית הלאום, ירושלים",קרקע,90,"מרפסות
1","קומות בבנין
8","חניות
1",1,0,1,0,1,1,0,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",1,1
342,343,"2,600,000 ₪","גבעת הורדים, רסקו מפה","דירה, גבעת הורדים, רסקו, ירושלים",1,75,"מרפסות
3","קומות בבנין
4","חניות
1",0,0,0,0,0,0,0,1,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
343,344,"3,200,000 ₪",נהר פרת מפה,"דירה, ירושלים",3,80,"מרפסות
2","קומות בבנין
5","חניות
1",1,0,0,0,0,0,0,0,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",1,0
344,345,"2,390,000 ₪",גילה מפה,"דירה, גילה, ירושלים",1,75,"מרפסות
1","קומות בבנין
4","חניות
1",1,1,1,1,1,1,1,1,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0
345,346,"4,600,000 ₪",קטמון הישנה מפה,"דירה, קטמון הישנה, ירושלים",2,97,"מרפסות
1","קומות בבנין
6","חניות
1",0,0,1,0,1,1,1,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
לא צוין תאריך כניסה",0,0
346,347,"2,650,000 ₪",טשרניחובסקי מפה,"דירה, גבעת הורדים, רסקו, ירושלים",3,75,"מרפסות
2","קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
347,348,"2,350,000 ₪",יוסף חכמי מפה,"דירה, בית וגן, ירושלים",2,65,"מרפסות
3","קומות בבנין
6","חניות
ללא",1,0,1,1,1,1,1,0,1,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0
348,349,לא צוין מחיר,הר נוף מפה,"דירה, הר נוף, ירושלים",קרקע,73,"מרפסות
1","קומות בבנין
8","חניות
ללא",0,1,1,1,1,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0
349,350,"2,495,000 ₪",רמות מפה,"דירה, רמות, ירושלים",2,60,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,0,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
350,351,"2,800,000 ₪","נחלאות, שערי חסד מפה","דירה, נחלאות, שערי חסד, ירושלים",1,60,"מרפסות
1","קומות בבנין
2","חניות
ללא",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,1
351,352,"1,990,000 ₪",ברוך צוקרמן מפה,"דירה, נווה יעקב, ירושלים",6,70,none,"קומות בבנין
8","חניות
ללא",1,0,1,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
352,353,"2,300,000 ₪",אברהם שטרן 6 מפה,"דירה, קרית היובל, ירושלים",2,67,"מרפסות
1","קומות בבנין
8","חניות
ללא",1,1,1,1,1,1,0,1,1,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0
353,354,"1,400,000 ₪",חזקיהו המלך 13 מפה,"דירה, קטמון הישנה, ירושלים",1,73,"מרפסות
1","קומות בבנין
1","חניות
ללא",1,0,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0
354,355,"3,500,000 ₪",גלבר מפה,nan,3,91,"מרפסות
1","קומות בבנין
7","חניות
1",1,0,1,0,1,1,1,1,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0
