,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
13,"2,350,000 ₪",ברק בני,"דירה, בני ברק",4,82,none,"קומות בבנין
6","חניות
ללא",1,1,1,1,0,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה מיידית",0,0,0,969500,1110355,1071798,1214994,"1,450,000",1204000,none,1557500,none,none,"1,420,000",none,none,none
14,"2,050,000 ₪",גבירול אבן 13,"דירה, גבעת סוקולוב, בני ברק",1,75,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,1,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
15,"2,550,000 ₪",דוד בן אברהם,"דירה, קרית ויז'ניץ, בני ברק",2,1,none,"קומות בבנין
4","חניות
3",1,1,1,0,0,1,1,1,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,"1,385,000",none,none,none,none,none,none,none,none,none
16,"1,919,999 ₪",דרך גוריון בן,"דירה, אזור תעשיה צפון, בני ברק",4,90,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,1,0,0,0,0,1,0,1,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,"2,280,000 ₪",דרך גוריון בן,"דירה, בני ברק",2,80,"מרפסות
1","קומות בבנין
5","חניות
1",1,0,1,1,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
18,"2,340,000 ₪",דרך גוריון בן,"דירה, הר שלום, בני ברק",1,93,none,"קומות בבנין
3","חניות
ללא",1,0,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
19,"1,900,000 ₪",הוז דב,"דירה, פרדס כץ, בני ברק",2,70,none,"קומות בבנין
6","חניות
ללא",1,1,1,1,1,1,1,1,1,0,"מצב הנכס
חדש","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,832500,none,760000,none,457000,"1,290,000",none,none,none,none,"1,240,000",none,none,none
20,"1,870,000 ₪",הוז דב 21,"דירה, פרדס כץ, בני ברק",1,80,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21,"2,030,000 ₪",הוז דב 30,"דירה, פרדס כץ, בני ברק",1,67,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,1,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,1,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
22,"1,500,000 ₪",החיים אור,"דירה, אור החיים, בני ברק",3,60,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,1,1,1,0,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,1,0,none,none,1057500,none,none,none,none,none,none,none,none,none,none,none
23,"2,190,000 ₪",החיים אור,"דירה, אור החיים, בני ברק",4,73,"מרפסות
1","קומות בבנין
7","חניות
ללא",1,1,1,1,1,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,1057500,none,none,none,none,none,none,none,none,none,none,none
24,"1,750,000 ₪",החלוצים,"דירה, יסודות, בני ברק",4,70,"מרפסות
1","קומות בבנין
5","חניות
ללא",0,0,1,1,1,1,0,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,"1,790,000 ₪",המכבים,"דירה, פרדס כץ, בני ברק",7,65,none,"קומות בבנין
7","חניות
ללא",1,1,1,1,1,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",1,0,0,none,925000,none,none,920921,none,none,none,none,none,1539166,none,none,none
26,"1,980,000 ₪",המכבים,"דירה, פרדס כץ, בני ברק",2,67,"מרפסות
1","קומות בבנין
6","חניות
ללא",1,0,1,1,0,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,925000,none,none,920921,none,none,none,none,none,1539166,none,none,none
27,"1,750,000 ₪",המכבים,"דירה, בני ברק",3,76,"מרפסות
1","קומות בבנין
7","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
12/02/2026",0,0,0,none,925000,none,none,920921,none,none,none,none,none,1539166,none,none,none
28,"1,850,000 ₪",המלך דוד,"דירה, הר שלום, בני ברק",2,70,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
29,"2,200,000 ₪",הרב בר אילן,"דירה, הפועל המזרחי ה', שיכון ה', בני ברק",2,110,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,1079316,none,none,none,none,none,none,none,none,none,none,none,none,none
30,"2,250,000 ₪",הרב בר אילן,"דירה, בני ברק",5,75,"מרפסות
1","קומות בבנין
7","חניות
ללא",0,0,1,0,1,1,1,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",1,0,0,1079316,none,none,none,none,none,none,none,none,none,none,none,none,none
31,"1,730,000 ₪",הרב דנגור,"דירה, פרדס כץ, בני ברק",1,85,"מרפסות
1","קומות בבנין
4","חניות
ללא",0,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
32,"1,640,000 ₪",הרב דנגור,"דירה, פרדס כץ, בני ברק",4,55,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
33,"1,900,000 ₪",הרב דנגור 12,"דירה, פרדס כץ, בני ברק",3,70,none,"קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
34,"1,780,000 ₪",הרב דנגור 7,"דירה, פרדס כץ, בני ברק",2,60,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,0,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
35,"1,500,000 ₪",הרב דנגור 8,"דירה, פרדס כץ, בני ברק",קרקע,60,none,"קומות בבנין
4","חניות
1",0,0,0,0,1,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
36,"2,400,000 ₪",הרצל,"דירה, פרדס כץ, בני ברק",5,82,"מרפסות
1","קומות בבנין
5","חניות
ללא",1,1,1,1,1,1,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,"810,000",903294,"1,025,000",none,1100033,1180625,none,none,"1,455,000",none,none,none,none,none
37,"2,200,000 ₪",השלושה 25,"דירה, מרכז העיר, בני ברק",3,73,none,"קומות בבנין
4","חניות
ללא",1,1,1,1,1,1,1,0,1,1,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0,0,none,1012500,none,none,"1,095,000",none,none,none,"1,660,000",none,none,none,none,none
38,לא צוין מחיר,השלושה 5,"דירה, מרכז העיר, בני ברק",5,140,none,"קומות בבנין
8","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,1012500,none,none,"1,095,000",none,none,none,"1,660,000",none,none,none,none,none
39,"1,850,000 ₪",השניים,"דירה, פרדס כץ, בני ברק",4,70,none,"קומות בבנין
6","חניות
ללא",1,0,1,1,1,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,"1,100,000",none,none,none,none,"1,350,000",none,none,none
40,"1,950,000 ₪",השניים 28,"דירה, פרדס כץ, בני ברק",1,70,"מרפסות
1","קומות בבנין
6","חניות
ללא",1,1,1,0,0,0,0,1,1,0,"מצב הנכס
חדש","תאריך כניסה
01/08/2023",0,0,2,none,none,none,none,none,"1,100,000",none,none,none,none,"1,350,000",none,none,none
41,"1,920,000 ₪",זבוטינסקי זאב דרך,"דירה, הר שלום, בני ברק",4,90,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,"1,405,000",none,none,none
42,"1,919,999 ₪",זבוטינסקי זאב דרך,"דירה, הר שלום, בני ברק",4,90,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,0,0,1,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,"1,405,000",none,none,none
43,"1,590,000 ₪",זבוטינסקי זאב דרך 37,"דירה, תל גיבורים, בני ברק",קרקע,50,none,"קומות בבנין
4","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,"1,405,000",none,none,none
44,"1,890,000 ₪",זבוטינסקי זאב דרך 41,"דירה, תל גיבורים, בני ברק",2,60,"מרפסות
1","קומות בבנין
4","חניות
1",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,"1,405,000",none,none,none
45,"2,560,000 ₪",זבוטינסקי זאב דרך 97,"דירה, בני ברק",2,85,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,"1,405,000",none,none,none
46,"2,300,000 ₪",חברון 13,"דירה, הר שלום, בני ברק",1,70,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,1,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,1265750,none,1210000,1250000,none,none,none,none,none,none,none,none
47,"1,820,000 ₪",טרומפלדור,"דירה, פרדס כץ, בני ברק",2,75,none,"קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,"950,000",none,none,1045000,1025000,1058250,"1,370,000",1470000,none,none,"1,430,000",none,none,none
48,"1,910,000 ₪",ישעיהו הנביא 11,"דירה, הר שלום, בני ברק",1,85,"מרפסות
2","קומות בבנין
1","חניות
ללא",1,0,1,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,"940,000",none,none,1175000,1143027,"1,100,000",none,none,none,none,none,none,none,none
49,"2,100,000 ₪",ישראל חצירא הרב אבו 1,"דירה, פרדס כץ, בני ברק",1,80,"מרפסות
2","קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
50,"1,700,000 ₪",ישראל חצירא הרב אבו 35,"דירה, פרדס כץ, בני ברק",4,60,none,"קומות בבנין
4","חניות
1",1,0,0,1,0,0,0,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
51,"2,250,000 ₪",כוכבא בר,"דירה, אזור תעשיה צפון, בני ברק",קרקע,60,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,0,0,0,1,0,1,0,1,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,4,none,none,none,none,none,none,none,none,none,none,none,none,none,none
52,"2,300,000 ₪",מיכה,"דירה, מרכז העיר, בני ברק",2,80,"מרפסות
2","קומות בבנין
3","חניות
1",0,0,1,1,0,1,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
53,"2,600,000 ₪",מנחם 8,"דירה, הר שלום, בני ברק",3,70,none,"קומות בבנין
3","חניות
ללא",1,1,0,0,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
54,לא צוין מחיר,מקוצק האדמור 41,"דירה, נווה און, בני ברק",3,70,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,1,1,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
55,"1,880,000 ₪",מרדכי אנילביץ,"דירה, הפועל המזרחי א', שיכון א', בני ברק",3,62,none,"קומות בבנין
4","חניות
ללא",1,0,1,0,1,1,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
56,"1,950,000 ₪",מרכז העיר,"דירה, מרכז העיר, בני ברק",3,70,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,0,0,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
57,"1,800,000 ₪",נורדאו 36,"דירה, פרדס כץ, בני ברק",3,67,"מרפסות
1","קומות בבנין
3","חניות
ללא",0,0,0,1,0,0,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,1,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
58,"2,050,000 ₪",נורוק הרב,"דירה, קרית הרצוג, בני ברק",3,125,"מרפסות
1","קומות בבנין
3","חניות
ללא",0,1,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,"1,330,000",none,none,none
59,"1,870,000 ₪",נורוק הרב,"דירה, קרית הרצוג, בני ברק",3,67,none,"קומות בבנין
4","חניות
ללא",0,1,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,"1,330,000",none,none,none
60,"1,750,000 ₪",סומך 6,"דירה, פרדס כץ, בני ברק",1,85,"מרפסות
1","קומות בבנין
4","חניות
1",1,1,0,0,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
61,לא צוין מחיר,סופר חשב 9,"דירה, מרכז העיר, בני ברק",1,68,"מרפסות
1","קומות בבנין
3","חניות
1",1,1,1,1,1,0,0,0,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,1,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
62,"1,950,000 ₪",סוקולוב 42,"דירה, מרכז העיר, בני ברק",1,60,none,"קומות בבנין
3","חניות
ללא",1,1,0,0,0,0,1,0,1,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,990573,1075300,1350701,"1,300,000","1,385,000","1,350,000",none,1720000,none,1375000,none,none,none,none
63,"2,650,000 ₪",פוברסקי הרב 22,"דירה, רמת אהרון, בני ברק",3,90,none,"קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
64,"2,750,000 ₪",פוברסקי הרב 6,"דירה, רמת אהרון, בני ברק",3,70,none,"קומות בבנין
3","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
65,"2,300,000 ₪",פוקס דב אהרון,"דירה, בני ברק",2,80,none,"קומות בבנין
3","חניות
1",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,1062500,none,none,1242500,1423333,none,none,none,none,"1,650,000",none,none,none,none
66,"2,350,000 ₪",פנחס אפשטיין 3,"דירה, הר שלום, בני ברק",2,100,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,"1,200,000",none,none,none,none,none,none,none,none,none,none,none,none,none
67,"2,150,000 ₪",פרדס כץ,"דירה, פרדס כץ, בני ברק",2,80,none,"קומות בבנין
4","חניות
1",1,1,1,1,1,1,1,1,0,0,"מצב הנכס
חדש","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
68,"2,100,000 ₪",פרדס כץ,"דירה, פרדס כץ, בני ברק",2,80,none,"קומות בבנין
4","חניות
1",1,1,1,1,1,1,1,1,0,1,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
69,"1,800,000 ₪",פרדס כץ,"דירה, פרדס כץ, בני ברק",2,78,none,"קומות בבנין
3","חניות
ללא",0,0,0,0,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,1,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
70,"1,950,000 ₪",צבי הרלינג,"דירה, קרית הרצוג, בני ברק",4,67,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,1,1,1,1,0,1,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
71,"1,900,000 ₪",קובלסקי הרב,"דירה, קרית הרצוג, בני ברק",3,67,none,"קומות בבנין
4","חניות
ללא",1,1,1,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,"990,000",none,none,none,none,none,none,none,none,none,none
72,"2,460,000 ₪",קוק יצחק הרב הכהן אברהם 32,"דירה, הר שלום, בני ברק",3,95,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,1,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
73,"1,790,000 ₪",קרית הרצוג,"דירה, קרית הרצוג, בני ברק",2,60,none,"קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
74,"1,900,000 ₪",קרית הרצוג,"דירה, קרית הרצוג, בני ברק",3,62,none,"קומות בבנין
4","חניות
ללא",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",1,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
75,"2,380,000 ₪",קרית הרצוג,"דירה, קרית הרצוג, בני ברק",4,110,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,0,0,0,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
76,"2,225,000 ₪",ראט משולם הרב 4,"דירה, יסודות, בני ברק",5,74,none,"קומות בבנין
6","חניות
ללא",1,0,1,1,0,1,0,0,0,0,"מצב הנכס
חדש","תאריך כניסה
08/06/2023",0,0,0,none,none,"940,000",none,none,none,none,none,none,none,none,none,none,none
77,"2,250,000 ₪",רבי עקיבא 47,"דירה, גבעת רוקח, בני ברק",5,74,none,"קומות בבנין
7","חניות
ללא",1,1,1,1,0,1,0,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",1,0,0,none,none,none,none,1431218,1379857,none,none,none,none,none,none,none,none
78,"2,170,000 ₪",ריינס הרב,"דירה, רמת אהרון, בני ברק",3,73,"מרפסות
1","קומות בבנין
6","חניות
ללא",1,0,1,1,1,1,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
79,"2,700,000 ₪",רמת אהרון,"דירה, רמת אהרון, בני ברק",2,90,none,"קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,1,0,0,0,"מצב הנכס
חדש","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
80,"2,090,000 ₪",רמת אלחנן,"דירה, רמת אלחנן, בני ברק",4,75,"מרפסות
1","קומות בבנין
6","חניות
ללא",0,0,0,0,0,0,0,0,0,0,"מצב הנכס
חדש מקבלן","תאריך כניסה
01/05/2024",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
81,"2,090,000 ₪",שאול יונתן בן,"דירה, תל גיבורים, בני ברק",2,75,"מרפסות
1","קומות בבנין
3","חניות
ללא",1,0,0,1,0,0,1,0,0,1,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,1,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
82,"1,890,000 ₪",שאול יונתן בן,"דירה, בני ברק",קרקע,65,none,"קומות בבנין
2","חניות
ללא",1,0,0,1,0,0,0,0,0,0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
83,"1,750,000 ₪",שבזי הרב,"דירה, גבעת סוקולוב, בני ברק",2,69,"מרפסות
1","קומות בבנין
4","חניות
ללא",1,1,0,1,0,0,1,0,0,0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
84,"1,900,000 ₪",שחל 9,"דירה, הפועל המזרחי ה', שיכון ה', בני ברק",2,74,"מרפסות
1","קומות בבנין
6","חניות
ללא",1,1,1,1,0,1,1,0,0,0,none,"תאריך כניסה
כניסה גמישה",0,1,0,none,none,1046666,1160000,"1,420,000",1326328,none,"1,700,000",none,none,none,none,none,none
